price,log_price,price_per_person,has_wireless_internet,has_heating,has_kitchen,has_essentials,has_smoke_detector,has_air_conditioning,has_tv,has_internet,has_washer,has_dryer
250.0,5.5254529391317835,62.5,1,1,1,1,1,0,1,0,1,1
65.0,4.189654742026425,32.5,1,1,1,1,1,1,1,1,1,1
65.0,4.189654742026425,32.5,1,1,1,1,1,1,1,0,1,1
75.0,4.330733340286331,18.75,1,1,1,1,1,1,1,1,1,1
79.0,4.382026634673881,39.5,1,1,1,1,1,1,0,1,0,0
75.0,4.330733340286331,37.5,1,1,1,0,1,1,0,0,0,0
100.0,4.61512051684126,33.333333333333336,1,1,1,1,1,0,1,1,0,0
75.0,4.330733340286331,37.5,1,1,0,1,1,1,1,1,1,1
58.0,4.07753744390572,29.0,1,1,0,0,1,0,0,0,0,0
229.0,5.438079308923196,45.8,1,1,1,1,1,1,1,1,1,1
60.0,4.110873864173311,30.0,1,1,1,1,1,1,1,0,1,1
57.0,4.060443010546419,57.0,1,1,0,0,0,1,1,1,1,1
93.0,4.543294782270004,23.25,1,1,1,1,1,1,0,0,1,1
150.0,5.017279836814924,30.0,1,1,1,1,1,1,1,1,0,0
145.0,4.983606621708336,72.5,1,1,1,1,1,0,0,1,1,1
60.0,4.110873864173311,60.0,1,1,1,1,1,1,1,1,0,0
165.0,5.111987788356544,41.25,1,1,1,0,1,0,1,1,1,1
75.0,4.330733340286331,37.5,1,1,1,1,1,1,1,0,1,1
49.0,3.912023005428146,49.0,1,1,1,1,1,1,0,1,1,1
49.0,3.912023005428146,24.5,1,1,1,1,1,1,1,1,1,1
40.0,3.713572066704308,40.0,1,1,1,1,1,1,0,1,1,1
120.0,4.795790545596741,40.0,1,1,0,1,1,1,1,1,0,0
70.0,4.2626798770413155,35.0,1,1,1,1,1,1,1,1,0,0
150.0,5.017279836814924,18.75,1,1,1,0,1,0,1,1,1,1
175.0,5.170483995038151,35.0,1,1,1,1,1,1,1,1,1,1
95.0,4.564348191467836,47.5,1,1,1,1,1,1,1,1,1,1
90.0,4.51085950651685,45.0,1,1,1,0,0,1,0,1,1,1
95.0,4.564348191467836,47.5,1,1,0,1,1,0,0,0,0,0
100.0,4.61512051684126,50.0,1,1,1,0,0,1,0,1,0,0
67.0,4.219507705176107,33.5,1,1,0,1,1,1,1,1,1,1
55.0,4.02535169073515,55.0,0,1,1,1,1,1,1,0,1,1
200.0,5.303304908059076,33.333333333333336,1,1,1,1,1,1,1,1,0,0
150.0,5.017279836814924,37.5,1,1,1,1,1,1,1,0,1,1
49.0,3.912023005428146,49.0,1,1,1,1,1,1,1,1,1,1
75.0,4.330733340286331,75.0,1,0,1,0,0,0,1,0,1,1
110.0,4.709530201312334,27.5,1,1,1,1,1,1,1,1,0,0
115.0,4.7535901911063645,57.5,1,1,1,1,1,0,1,0,1,1
125.0,4.836281906951478,7.8125,1,1,1,1,1,0,1,0,0,0
200.0,5.303304908059076,12.5,1,1,1,1,1,1,1,1,0,0
75.0,4.330733340286331,37.5,1,1,0,1,1,1,1,1,1,1
78.0,4.3694478524670215,78.0,0,0,0,0,0,0,0,0,0,0
50.0,3.9318256327243257,12.5,1,0,1,1,1,1,0,0,1,1
60.0,4.110873864173311,60.0,1,1,1,1,1,1,0,1,1,1
45.0,3.828641396489095,45.0,1,1,1,1,1,1,0,1,1,1
145.0,4.983606621708336,36.25,1,1,1,1,1,0,1,1,0,0
45.0,3.828641396489095,22.5,1,1,1,1,1,0,0,0,0,0
85.0,4.454347296253507,42.5,1,1,1,1,0,1,1,1,1,1
75.0,4.330733340286331,75.0,1,1,0,1,1,1,0,1,1,1
50.0,3.9318256327243257,25.0,1,1,1,1,1,0,1,1,1,1
45.0,3.828641396489095,45.0,1,1,1,1,1,1,0,1,1,1
60.0,4.110873864173311,30.0,1,1,1,1,1,1,1,1,1,1
95.0,4.564348191467836,31.666666666666668,1,1,1,1,1,1,1,1,1,1
89.0,4.499809670330265,44.5,1,1,1,1,1,0,1,1,1,1
110.0,4.709530201312334,36.666666666666664,1,1,1,1,1,1,0,0,1,1
65.0,4.189654742026425,32.5,1,1,1,1,1,0,1,1,1,1
285.0,5.655991810819852,40.714285714285715,1,1,1,1,1,1,1,0,1,1
140.0,4.948759890378168,35.0,0,1,1,0,0,1,1,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,0,1,1,1,1,1,1
95.0,4.564348191467836,47.5,1,1,1,1,0,1,1,0,1,1
55.0,4.02535169073515,27.5,1,1,1,0,0,0,1,1,1,1
80.0,4.394449154672439,40.0,1,1,1,1,1,1,1,1,1,1
120.0,4.795790545596741,60.0,1,1,1,1,1,1,0,0,1,1
65.0,4.189654742026425,32.5,1,0,1,1,1,0,1,0,1,1
100.0,4.61512051684126,25.0,1,1,0,1,1,1,1,1,0,0
65.0,4.189654742026425,65.0,0,0,0,0,0,0,0,0,0,0
60.0,4.110873864173311,60.0,1,1,1,1,0,1,0,0,1,1
